»’∆⁄,∞Ÿ∫œΩ¥’Ù∑Ô◊¶,Ù‰¥‰’Ùœ„‹ÁΩ»,Ω“¯À‚÷≠’Ù≈≈π«,¿÷…≈’ÊŒ∂º¶,√€÷≠üh≤Õ∞¸,…˙≥¥≤À–ƒ,Ã˙∞ÂÀ·≤À∂π∏Ø,œ„ºÂæ¬≤ÀΩ»,œ„ºÂ¬ﬁ≤∑∏‚,‘≠÷≠‘≠Œ∂≤À–ƒ
2015/1/1,17,6,8,24,13,13,18,10,10,27
2015/1/2,11,15,14,13,9,10,19,13,14,13
2015/1/3,10,8,12,13,8,3,7,11,10,9
2015/1/4,9,6,6,3,10,9,9,13,14,13
2015/1/5,4,10,13,8,12,10,17,11,13,14
2015/1/6,13,10,13,16,8,9,12,11,5,9
2015/1/7,9,7,13,8,5,7,10,8,10,7
2015/1/8,9,12,13,6,7,8,6,12,11,5
2015/1/12,6,8,8,3,,4,5,5,7,10
2015/1/13,9,11,13,6,8,7,6,9,8,9
2015/1/14,6,7,8,9,4,7,8,5,3,10
2015/1/15,5,9,4,7,8,9,15,9,13,9
2015/1/16,9,7,11,9,11,8,14,9,9,15
2015/1/17,10,8,10,6,14,13,16,9,4,14
2015/1/18,13,12,12,10,9,11,8,12,9,15
2015/1/19,4,8,12,11,9,7,10,6,11,11
2015/1/20,6,12,10,9,11,4,8,14,6,13
2015/1/21,9,15,4,12,7,9,1,5,12,8
2015/1/22,3,10,13,13,13,8,13,5,11,11
2015/1/23,8,7,9,20,5,12,8,7,8,11
2015/1/24,11,6,11,8,7,8,9,7,10,9
2015/1/25,11,6,5,15,7,14,14,7,6,8
2015/1/26,4,7,10,7,6,10,9,12,7,5
2015/1/27,7,5,6,7,12,15,6,12,9,4
2015/1/28,8,8,12,14,8,11,7,12,10,6
2015/1/29,4,10,12,9,7,8,8,10,10,11
2015/1/30,6,7,7,11,7,7,9,16,10,11
2015/1/31,8,5,11,10,8,11,8,10,10,9
2015/2/1,8,6,7,9,6,4,6,11,6,9
